customer_id,state,age_group,income_band,customer_segment,credit_score_band,tenure_band,estimated_income,tenure_years,estimated_credit_score
CUST000031,AZ,45-54,40K-75K,Mass Market,Good,0-1 Years,57500,0.5,700
CUST000032,TX,35-44,40K-75K,Affluent,Poor,5-10 Years,57500,7.0,560
CUST000033,TN,18-24,75K-125K,Affluent,Fair,1-3 Years,100000,2.0,630
CUST000034,CO,35-44,40K-75K,Mass Market,Fair,10+ Years,57500,12.0,630
CUST000035,MA,55-64,125K-200K,Mass Market,Very Good,3-5 Years,160000,4.0,760
CUST000036,IL,65+,125K-200K,Affluent,Fair,3-5 Years,160000,4.0,630
CUST000037,CO,55-64,125K-200K,Mass Market,Poor,3-5 Years,160000,4.0,560
CUST000038,MI,25-34,75K-125K,Emerging Affluent,Very Good,5-10 Years,100000,7.0,760
CUST000039,VA,25-34,40K-75K,Small Business,Good,3-5 Years,57500,4.0,700
CUST000040,MN,18-24,75K-125K,Mass Market,Excellent,1-3 Years,100000,2.0,810
CUST000041,TX,18-24,Under 40K,Emerging Affluent,Very Good,1-3 Years,30000,2.0,760
CUST000042,OR,65+,75K-125K,Mass Market,Poor,0-1 Years,100000,0.5,560
CUST000043,GA,45-54,40K-75K,Mass Market,Very Good,1-3 Years,57500,2.0,760
CUST000044,CA,35-44,75K-125K,Mass Market,Good,5-10 Years,100000,7.0,700
CUST000045,MN,18-24,75K-125K,Mass Market,Fair,3-5 Years,100000,4.0,630
CUST000046,WA,25-34,125K-200K,Affluent,Excellent,1-3 Years,160000,2.0,810
CUST000047,MN,35-44,75K-125K,Mass Market,Excellent,5-10 Years,100000,7.0,810
CUST000048,FL,18-24,125K-200K,Mass Market,Very Good,10+ Years,160000,12.0,760
CUST000049,IL,25-34,125K-200K,Emerging Affluent,Fair,1-3 Years,160000,2.0,630
CUST000050,NY,45-54,40K-75K,Emerging Affluent,Good,3-5 Years,57500,4.0,700
CUST000051,GA,18-24,40K-75K,Mass Market,Poor,5-10 Years,57500,7.0,560
CUST000052,FL,25-34,40K-75K,Emerging Affluent,Good,0-1 Years,57500,0.5,700
CUST000053,NC,35-44,125K-200K,Emerging Affluent,Fair,0-1 Years,160000,0.5,630
CUST000054,PA,35-44,125K-200K,Small Business,Poor,1-3 Years,160000,2.0,560
CUST000055,FL,45-54,40K-75K,Mass Market,Excellent,10+ Years,57500,12.0,810
CUST000056,AZ,65+,40K-75K,Mass Market,Very Good,1-3 Years,57500,2.0,760
CUST000057,PA,18-24,75K-125K,Mass Market,Excellent,5-10 Years,100000,7.0,810
CUST000058,PA,25-34,75K-125K,Mass Market,Excellent,10+ Years,100000,12.0,810
CUST000059,PA,25-34,125K-200K,Mass Market,Very Good,10+ Years,160000,12.0,760
CUST000060,GA,18-24,Under 40K,Mass Market,Excellent,10+ Years,30000,12.0,810
CUST000061,MA,35-44,40K-75K,Emerging Affluent,Very Good,1-3 Years,57500,2.0,760
CUST000062,TX,25-34,200K+,Mass Market,Excellent,1-3 Years,240000,2.0,810
CUST000063,TX,45-54,40K-75K,Emerging Affluent,Good,10+ Years,57500,12.0,700
CUST000064,TN,35-44,75K-125K,Mass Market,Very Good,0-1 Years,100000,0.5,760
CUST000065,VA,45-54,200K+,Emerging Affluent,Fair,3-5 Years,240000,4.0,630
CUST000066,AZ,45-54,75K-125K,Mass Market,Excellent,3-5 Years,100000,4.0,810
CUST000067,OH,35-44,75K-125K,Mass Market,Fair,5-10 Years,100000,7.0,630
CUST000068,MA,45-54,125K-200K,Emerging Affluent,Good,3-5 Years,160000,4.0,700
CUST000069,CO,25-34,40K-75K,Emerging Affluent,Very Good,1-3 Years,57500,2.0,760
CUST000070,WA,35-44,40K-75K,Mass Market,Excellent,5-10 Years,57500,7.0,810
CUST000071,PA,45-54,40K-75K,Emerging Affluent,Very Good,0-1 Years,57500,0.5,760
CUST000072,MI,45-54,40K-75K,Mass Market,Poor,1-3 Years,57500,2.0,560
CUST000073,OH,45-54,75K-125K,Mass Market,Excellent,3-5 Years,100000,4.0,810
CUST000074,TX,35-44,40K-75K,Emerging Affluent,Poor,5-10 Years,57500,7.0,560
CUST000075,TN,55-64,40K-75K,Affluent,Very Good,3-5 Years,57500,4.0,760
CUST000076,TN,25-34,125K-200K,Mass Market,Very Good,5-10 Years,160000,7.0,760
CUST000077,MN,45-54,200K+,Affluent,Very Good,5-10 Years,240000,7.0,760
CUST000078,CO,35-44,125K-200K,Mass Market,Fair,10+ Years,160000,12.0,630
CUST000079,PA,25-34,40K-75K,Emerging Affluent,Very Good,3-5 Years,57500,4.0,760
CUST000080,TN,25-34,Under 40K,Mass Market,Good,1-3 Years,30000,2.0,700
CUST000081,AZ,18-24,Under 40K,Mass Market,Fair,1-3 Years,30000,2.0,630
CUST000082,OR,35-44,75K-125K,Mass Market,Fair,3-5 Years,100000,4.0,630
CUST000083,NJ,65+,Under 40K,Affluent,Good,3-5 Years,30000,4.0,700
CUST000084,TN,25-34,40K-75K,Affluent,Very Good,3-5 Years,57500,4.0,760
CUST000085,OH,55-64,125K-200K,Mass Market,Good,3-5 Years,160000,4.0,700
CUST000086,FL,35-44,75K-125K,Mass Market,Fair,3-5 Years,100000,4.0,630
CUST000087,CA,65+,75K-125K,Affluent,Good,5-10 Years,100000,7.0,700
CUST000088,IL,45-54,Under 40K,Mass Market,Poor,1-3 Years,30000,2.0,560
CUST000089,AZ,35-44,40K-75K,Affluent,Good,10+ Years,57500,12.0,700
CUST000090,NJ,25-34,Under 40K,Mass Market,Good,10+ Years,30000,12.0,700
CUST000091,PA,25-34,Under 40K,Small Business,Poor,0-1 Years,30000,0.5,560
CUST000092,OR,25-34,Under 40K,Mass Market,Fair,5-10 Years,30000,7.0,630
CUST000093,TX,65+,40K-75K,Mass Market,Good,5-10 Years,57500,7.0,700
CUST000094,OR,55-64,Under 40K,Mass Market,Good,10+ Years,30000,12.0,700
CUST000095,PA,45-54,200K+,Mass Market,Very Good,0-1 Years,240000,0.5,760
CUST000096,OR,25-34,75K-125K,Affluent,Very Good,0-1 Years,100000,0.5,760
CUST000097,VA,55-64,40K-75K,Mass Market,Good,3-5 Years,57500,4.0,700
CUST000098,CO,18-24,40K-75K,Mass Market,Good,1-3 Years,57500,2.0,700
CUST000099,TN,45-54,40K-75K,Emerging Affluent,Excellent,1-3 Years,57500,2.0,810
CUST000100,PA,55-64,40K-75K,Affluent,Good,1-3 Years,57500,2.0,700
CUST000101,MD,55-64,Under 40K,Affluent,Fair,3-5 Years,30000,4.0,630
CUST000102,NJ,45-54,40K-75K,Mass Market,Good,3-5 Years,57500,4.0,700
CUST000103,MA,55-64,40K-75K,Affluent,Very Good,1-3 Years,57500,2.0,760
CUST000104,PA,35-44,Under 40K,Mass Market,Good,3-5 Years,30000,4.0,700
CUST000105,PA,45-54,75K-125K,Mass Market,Very Good,0-1 Years,100000,0.5,760
CUST000106,NJ,35-44,40K-75K,Emerging Affluent,Good,3-5 Years,57500,4.0,700
CUST000107,GA,35-44,75K-125K,Mass Market,Very Good,1-3 Years,100000,2.0,760
CUST000108,WA,25-34,75K-125K,Mass Market,Very Good,10+ Years,100000,12.0,760
CUST000109,MD,25-34,75K-125K,Mass Market,Good,5-10 Years,100000,7.0,700
CUST000110,MA,25-34,Under 40K,Mass Market,Fair,1-3 Years,30000,2.0,630
CUST000111,FL,45-54,Under 40K,Mass Market,Poor,1-3 Years,30000,2.0,560
CUST000112,MI,45-54,75K-125K,Mass Market,Poor,1-3 Years,100000,2.0,560
CUST000113,CA,35-44,Under 40K,Mass Market,Excellent,3-5 Years,30000,4.0,810
CUST000114,OR,35-44,Under 40K,Emerging Affluent,Poor,1-3 Years,30000,2.0,560
CUST000115,MD,65+,Under 40K,Mass Market,Good,3-5 Years,30000,4.0,700
CUST000116,OR,55-64,40K-75K,Mass Market,Good,3-5 Years,57500,4.0,700
CUST000117,IL,65+,40K-75K,Emerging Affluent,Very Good,5-10 Years,57500,7.0,760
CUST000118,WA,45-54,40K-75K,Mass Market,Fair,3-5 Years,57500,4.0,630
CUST000119,NC,18-24,40K-75K,Emerging Affluent,Good,1-3 Years,57500,2.0,700
CUST000120,OR,45-54,40K-75K,Emerging Affluent,Excellent,5-10 Years,57500,7.0,810
CUST000121,GA,45-54,125K-200K,Mass Market,Good,5-10 Years,160000,7.0,700
CUST000122,OR,55-64,Under 40K,Mass Market,Good,5-10 Years,30000,7.0,700
CUST000123,GA,65+,40K-75K,Mass Market,Good,3-5 Years,57500,4.0,700
CUST000124,VA,35-44,40K-75K,Mass Market,Poor,3-5 Years,57500,4.0,560
CUST000125,OR,45-54,Under 40K,Mass Market,Very Good,10+ Years,30000,12.0,760
CUST000126,WA,65+,200K+,Emerging Affluent,Good,0-1 Years,240000,0.5,700
CUST000127,MI,35-44,75K-125K,Affluent,Fair,3-5 Years,100000,4.0,630
CUST000128,WA,65+,40K-75K,Mass Market,Good,0-1 Years,57500,0.5,700
CUST000129,TN,35-44,75K-125K,Mass Market,Excellent,5-10 Years,100000,7.0,810
CUST000130,MN,18-24,Under 40K,Mass Market,Fair,5-10 Years,30000,7.0,630
CUST000131,MN,55-64,Under 40K,Affluent,Good,0-1 Years,30000,0.5,700
CUST000132,TN,35-44,75K-125K,Emerging Affluent,Very Good,1-3 Years,100000,2.0,760
CUST000133,MD,25-34,40K-75K,Affluent,Good,0-1 Years,57500,0.5,700
CUST000134,PA,55-64,75K-125K,Mass Market,Poor,3-5 Years,100000,4.0,560
CUST000135,MI,65+,125K-200K,Mass Market,Fair,5-10 Years,160000,7.0,630
CUST000136,MI,65+,40K-75K,Emerging Affluent,Good,3-5 Years,57500,4.0,700
CUST000137,FL,25-34,75K-125K,Mass Market,Excellent,3-5 Years,100000,4.0,810
CUST000138,MN,55-64,40K-75K,Emerging Affluent,Good,10+ Years,57500,12.0,700
CUST000139,MI,25-34,Under 40K,Emerging Affluent,Very Good,3-5 Years,30000,4.0,760
CUST000140,OH,55-64,40K-75K,Mass Market,Good,5-10 Years,57500,7.0,700
CUST000141,PA,35-44,40K-75K,Mass Market,Very Good,3-5 Years,57500,4.0,760
CUST000142,OH,55-64,40K-75K,Mass Market,Good,10+ Years,57500,12.0,700
CUST000143,NY,35-44,75K-125K,Affluent,Excellent,3-5 Years,100000,4.0,810
CUST000144,TX,25-34,200K+,Mass Market,Fair,10+ Years,240000,12.0,630
CUST000145,FL,35-44,40K-75K,Emerging Affluent,Good,5-10 Years,57500,7.0,700
CUST000146,CA,18-24,75K-125K,Mass Market,Very Good,3-5 Years,100000,4.0,760
CUST000147,MI,55-64,125K-200K,Affluent,Good,1-3 Years,160000,2.0,700
CUST000148,PA,55-64,Under 40K,Mass Market,Very Good,10+ Years,30000,12.0,760
CUST000149,CO,45-54,40K-75K,Mass Market,Very Good,10+ Years,57500,12.0,760
CUST000150,NJ,25-34,40K-75K,Mass Market,Good,0-1 Years,57500,0.5,700
CUST000151,WA,35-44,Under 40K,Mass Market,Good,5-10 Years,30000,7.0,700
CUST000152,OR,25-34,75K-125K,Mass Market,Very Good,3-5 Years,100000,4.0,760
CUST000153,CO,25-34,40K-75K,Mass Market,Fair,0-1 Years,57500,0.5,630
CUST000154,OR,55-64,75K-125K,Mass Market,Good,1-3 Years,100000,2.0,700
CUST000155,OH,25-34,200K+,Emerging Affluent,Good,1-3 Years,240000,2.0,700
CUST000156,NC,55-64,Under 40K,Mass Market,Good,1-3 Years,30000,2.0,700
CUST000157,NY,18-24,125K-200K,Mass Market,Poor,10+ Years,160000,12.0,560
CUST000158,PA,65+,75K-125K,Affluent,Excellent,5-10 Years,100000,7.0,810
CUST000159,FL,45-54,40K-75K,Emerging Affluent,Very Good,5-10 Years,57500,7.0,760
CUST000160,OR,45-54,125K-200K,Emerging Affluent,Good,3-5 Years,160000,4.0,700
CUST000161,IL,35-44,Under 40K,Affluent,Good,3-5 Years,30000,4.0,700
CUST000162,WA,25-34,75K-125K,Small Business,Good,10+ Years,100000,12.0,700
CUST000163,VA,25-34,125K-200K,Mass Market,Very Good,5-10 Years,160000,7.0,760
CUST000164,OH,55-64,40K-75K,Mass Market,Very Good,1-3 Years,57500,2.0,760
CUST000165,TN,65+,125K-200K,Mass Market,Very Good,0-1 Years,160000,0.5,760
CUST000166,NJ,25-34,40K-75K,Emerging Affluent,Good,1-3 Years,57500,2.0,700
CUST000167,MD,25-34,40K-75K,Mass Market,Excellent,3-5 Years,57500,4.0,810
CUST000168,AZ,25-34,Under 40K,Affluent,Excellent,1-3 Years,30000,2.0,810
CUST000169,PA,25-34,Under 40K,Mass Market,Excellent,0-1 Years,30000,0.5,810
CUST000170,TN,55-64,Under 40K,Mass Market,Very Good,5-10 Years,30000,7.0,760
CUST000171,MI,35-44,75K-125K,Mass Market,Good,0-1 Years,100000,0.5,700
CUST000172,CO,45-54,125K-200K,Mass Market,Very Good,1-3 Years,160000,2.0,760
CUST000173,NJ,65+,125K-200K,Mass Market,Very Good,3-5 Years,160000,4.0,760
CUST000174,CA,18-24,40K-75K,Small Business,Excellent,5-10 Years,57500,7.0,810
CUST000175,PA,45-54,75K-125K,Emerging Affluent,Poor,5-10 Years,100000,7.0,560
CUST000176,OR,65+,75K-125K,Mass Market,Very Good,3-5 Years,100000,4.0,760
CUST000177,MA,25-34,125K-200K,Mass Market,Fair,10+ Years,160000,12.0,630
CUST000178,TX,25-34,200K+,Small Business,Good,5-10 Years,240000,7.0,700
CUST000179,VA,45-54,Under 40K,Mass Market,Very Good,1-3 Years,30000,2.0,760
CUST000180,CA,18-24,40K-75K,Mass Market,Good,0-1 Years,57500,0.5,700
CUST000181,MD,35-44,75K-125K,Mass Market,Fair,3-5 Years,100000,4.0,630
CUST000182,MA,18-24,75K-125K,Affluent,Good,3-5 Years,100000,4.0,700
CUST000183,CO,18-24,40K-75K,Mass Market,Very Good,3-5 Years,57500,4.0,760
CUST000184,OR,18-24,Under 40K,Emerging Affluent,Poor,1-3 Years,30000,2.0,560
CUST000185,MD,35-44,40K-75K,Small Business,Good,3-5 Years,57500,4.0,700
CUST000186,TN,35-44,125K-200K,Mass Market,Very Good,10+ Years,160000,12.0,760
CUST000187,CO,45-54,40K-75K,Mass Market,Fair,1-3 Years,57500,2.0,630
CUST000188,FL,35-44,75K-125K,Mass Market,Good,1-3 Years,100000,2.0,700
CUST000189,NJ,45-54,40K-75K,Mass Market,Fair,3-5 Years,57500,4.0,630
CUST000190,TX,55-64,75K-125K,Emerging Affluent,Good,1-3 Years,100000,2.0,700
CUST000191,NY,35-44,125K-200K,Small Business,Good,10+ Years,160000,12.0,700
CUST000192,MI,65+,75K-125K,Mass Market,Good,1-3 Years,100000,2.0,700
CUST000193,OR,25-34,Under 40K,Affluent,Good,5-10 Years,30000,7.0,700
CUST000194,TN,25-34,40K-75K,Mass Market,Very Good,5-10 Years,57500,7.0,760
CUST000195,NC,18-24,125K-200K,Affluent,Good,1-3 Years,160000,2.0,700
CUST000196,CA,65+,40K-75K,Mass Market,Fair,5-10 Years,57500,7.0,630
CUST000197,AZ,25-34,75K-125K,Mass Market,Very Good,1-3 Years,100000,2.0,760
CUST000198,MD,35-44,Under 40K,Mass Market,Good,10+ Years,30000,12.0,700
CUST000199,GA,18-24,Under 40K,Mass Market,Very Good,5-10 Years,30000,7.0,760
CUST000200,MN,35-44,40K-75K,Emerging Affluent,Good,1-3 Years,57500,2.0,700
CUST000201,NC,25-34,40K-75K,Mass Market,Very Good,3-5 Years,57500,4.0,760
CUST000202,IL,18-24,40K-75K,Emerging Affluent,Poor,1-3 Years,57500,2.0,560
CUST000203,AZ,55-64,75K-125K,Mass Market,Fair,3-5 Years,100000,4.0,630
CUST000204,NJ,25-34,40K-75K,Emerging Affluent,Good,5-10 Years,57500,7.0,700
CUST000205,VA,18-24,125K-200K,Mass Market,Poor,10+ Years,160000,12.0,560
CUST000206,MA,45-54,75K-125K,Emerging Affluent,Good,0-1 Years,100000,0.5,700
CUST000207,NJ,65+,Under 40K,Small Business,Good,5-10 Years,30000,7.0,700
CUST000208,OH,18-24,125K-200K,Mass Market,Good,3-5 Years,160000,4.0,700
CUST000209,TX,55-64,75K-125K,Mass Market,Very Good,0-1 Years,100000,0.5,760
CUST000210,FL,35-44,Under 40K,Emerging Affluent,Good,10+ Years,30000,12.0,700
CUST000211,CA,25-34,Under 40K,Mass Market,Very Good,5-10 Years,30000,7.0,760
CUST000212,CO,25-34,75K-125K,Mass Market,Very Good,5-10 Years,100000,7.0,760
CUST000213,VA,45-54,125K-200K,Emerging Affluent,Excellent,1-3 Years,160000,2.0,810
CUST000214,NY,25-34,Under 40K,Mass Market,Good,1-3 Years,30000,2.0,700
CUST000215,NC,35-44,Under 40K,Mass Market,Poor,1-3 Years,30000,2.0,560
CUST000216,CO,18-24,125K-200K,Affluent,Very Good,3-5 Years,160000,4.0,760
CUST000217,OR,45-54,200K+,Emerging Affluent,Poor,10+ Years,240000,12.0,560
CUST000218,TX,45-54,40K-75K,Mass Market,Fair,0-1 Years,57500,0.5,630
CUST000219,NY,55-64,125K-200K,Small Business,Fair,5-10 Years,160000,7.0,630
CUST000220,NJ,25-34,40K-75K,Mass Market,Good,1-3 Years,57500,2.0,700
CUST000221,VA,65+,40K-75K,Emerging Affluent,Very Good,0-1 Years,57500,0.5,760
CUST000222,MD,18-24,Under 40K,Emerging Affluent,Good,5-10 Years,30000,7.0,700
CUST000223,OH,55-64,40K-75K,Emerging Affluent,Fair,1-3 Years,57500,2.0,630
CUST000224,VA,25-34,75K-125K,Mass Market,Good,5-10 Years,100000,7.0,700
CUST000225,MN,55-64,75K-125K,Affluent,Very Good,5-10 Years,100000,7.0,760
CUST000226,IL,18-24,75K-125K,Mass Market,Poor,1-3 Years,100000,2.0,560
CUST000227,NC,35-44,75K-125K,Mass Market,Excellent,1-3 Years,100000,2.0,810
CUST000228,NY,55-64,Under 40K,Emerging Affluent,Very Good,10+ Years,30000,12.0,760
CUST000229,WA,45-54,125K-200K,Emerging Affluent,Good,1-3 Years,160000,2.0,700
CUST000230,AZ,55-64,75K-125K,Affluent,Fair,3-5 Years,100000,4.0,630
CUST000231,CO,35-44,75K-125K,Small Business,Very Good,5-10 Years,100000,7.0,760
CUST000232,IL,25-34,40K-75K,Small Business,Very Good,10+ Years,57500,12.0,760
CUST000233,OH,35-44,200K+,Small Business,Good,1-3 Years,240000,2.0,700
CUST000234,GA,35-44,40K-75K,Mass Market,Fair,5-10 Years,57500,7.0,630
CUST000235,MN,18-24,40K-75K,Mass Market,Excellent,5-10 Years,57500,7.0,810
CUST000236,FL,55-64,40K-75K,Emerging Affluent,Good,10+ Years,57500,12.0,700
CUST000237,MA,55-64,Under 40K,Affluent,Very Good,10+ Years,30000,12.0,760
CUST000238,PA,35-44,40K-75K,Mass Market,Good,0-1 Years,57500,0.5,700
CUST000239,FL,18-24,125K-200K,Affluent,Very Good,5-10 Years,160000,7.0,760
CUST000240,MI,18-24,125K-200K,Mass Market,Very Good,5-10 Years,160000,7.0,760
CUST000241,TN,35-44,Under 40K,Mass Market,Fair,5-10 Years,30000,7.0,630
CUST000242,TX,65+,75K-125K,Mass Market,Very Good,1-3 Years,100000,2.0,760
CUST000243,MI,18-24,40K-75K,Emerging Affluent,Good,0-1 Years,57500,0.5,700
CUST000244,AZ,45-54,Under 40K,Mass Market,Fair,1-3 Years,30000,2.0,630
CUST000245,MN,18-24,40K-75K,Mass Market,Fair,5-10 Years,57500,7.0,630
CUST000246,TN,65+,Under 40K,Mass Market,Good,10+ Years,30000,12.0,700
CUST000247,MA,18-24,125K-200K,Mass Market,Good,1-3 Years,160000,2.0,700
CUST000248,OR,35-44,Under 40K,Mass Market,Very Good,0-1 Years,30000,0.5,760
CUST000249,WA,45-54,40K-75K,Mass Market,Good,5-10 Years,57500,7.0,700
CUST000250,FL,55-64,75K-125K,Small Business,Good,1-3 Years,100000,2.0,700
CUST000251,IL,18-24,75K-125K,Mass Market,Good,0-1 Years,100000,0.5,700
CUST000252,MI,55-64,40K-75K,Mass Market,Good,5-10 Years,57500,7.0,700
CUST000253,VA,25-34,75K-125K,Mass Market,Good,5-10 Years,100000,7.0,700
CUST000254,OH,25-34,125K-200K,Mass Market,Good,3-5 Years,160000,4.0,700
CUST000255,GA,35-44,Under 40K,Emerging Affluent,Good,5-10 Years,30000,7.0,700
CUST000256,TN,55-64,75K-125K,Mass Market,Very Good,5-10 Years,100000,7.0,760
CUST000257,AZ,25-34,Under 40K,Mass Market,Good,3-5 Years,30000,4.0,700
CUST000258,MD,25-34,40K-75K,Mass Market,Very Good,10+ Years,57500,12.0,760
CUST000259,OH,65+,40K-75K,Small Business,Excellent,0-1 Years,57500,0.5,810
CUST000260,MD,35-44,125K-200K,Emerging Affluent,Excellent,1-3 Years,160000,2.0,810
CUST000261,NJ,45-54,40K-75K,Mass Market,Fair,5-10 Years,57500,7.0,630
CUST000262,NJ,35-44,75K-125K,Emerging Affluent,Very Good,10+ Years,100000,12.0,760
CUST000263,GA,35-44,Under 40K,Mass Market,Good,1-3 Years,30000,2.0,700
CUST000264,TN,25-34,Under 40K,Emerging Affluent,Good,1-3 Years,30000,2.0,700
CUST000265,MI,25-34,75K-125K,Emerging Affluent,Fair,5-10 Years,100000,7.0,630
CUST000266,CA,25-34,Under 40K,Mass Market,Fair,5-10 Years,30000,7.0,630
CUST000267,TN,55-64,200K+,Small Business,Very Good,5-10 Years,240000,7.0,760
CUST000268,WA,35-44,125K-200K,Affluent,Very Good,10+ Years,160000,12.0,760
CUST000269,MI,55-64,40K-75K,Mass Market,Fair,0-1 Years,57500,0.5,630
CUST000270,MD,18-24,75K-125K,Mass Market,Very Good,3-5 Years,100000,4.0,760
CUST000271,AZ,55-64,Under 40K,Mass Market,Very Good,3-5 Years,30000,4.0,760
CUST000272,CO,55-64,125K-200K,Mass Market,Excellent,5-10 Years,160000,7.0,810
CUST000273,OR,35-44,40K-75K,Mass Market,Very Good,3-5 Years,57500,4.0,760
CUST000274,TX,25-34,200K+,Mass Market,Excellent,0-1 Years,240000,0.5,810
CUST000275,MN,35-44,40K-75K,Mass Market,Excellent,1-3 Years,57500,2.0,810
CUST000276,FL,55-64,125K-200K,Mass Market,Very Good,3-5 Years,160000,4.0,760
CUST000277,OR,45-54,75K-125K,Mass Market,Very Good,5-10 Years,100000,7.0,760
CUST000278,OR,25-34,75K-125K,Emerging Affluent,Very Good,10+ Years,100000,12.0,760
CUST000279,GA,18-24,125K-200K,Mass Market,Excellent,5-10 Years,160000,7.0,810
CUST000280,TN,45-54,75K-125K,Mass Market,Very Good,3-5 Years,100000,4.0,760
CUST000281,NC,25-34,200K+,Mass Market,Very Good,5-10 Years,240000,7.0,760
CUST000282,VA,35-44,75K-125K,Mass Market,Good,3-5 Years,100000,4.0,700
CUST000283,OH,45-54,40K-75K,Emerging Affluent,Very Good,10+ Years,57500,12.0,760
CUST000284,GA,25-34,40K-75K,Mass Market,Good,3-5 Years,57500,4.0,700
CUST000285,AZ,35-44,Under 40K,Mass Market,Excellent,10+ Years,30000,12.0,810
CUST000286,VA,25-34,125K-200K,Mass Market,Good,3-5 Years,160000,4.0,700
CUST000287,MI,25-34,Under 40K,Small Business,Good,10+ Years,30000,12.0,700
CUST000288,NJ,18-24,200K+,Mass Market,Excellent,1-3 Years,240000,2.0,810
CUST000289,NC,18-24,40K-75K,Emerging Affluent,Very Good,5-10 Years,57500,7.0,760
CUST000290,OH,35-44,125K-200K,Mass Market,Excellent,5-10 Years,160000,7.0,810
CUST000291,CA,35-44,40K-75K,Mass Market,Fair,3-5 Years,57500,4.0,630
CUST000292,MD,35-44,40K-75K,Mass Market,Very Good,5-10 Years,57500,7.0,760
CUST000293,NJ,25-34,200K+,Mass Market,Very Good,1-3 Years,240000,2.0,760
CUST000294,FL,45-54,Under 40K,Mass Market,Good,0-1 Years,30000,0.5,700
CUST000295,FL,45-54,125K-200K,Mass Market,Fair,10+ Years,160000,12.0,630
CUST000296,NC,35-44,75K-125K,Mass Market,Excellent,5-10 Years,100000,7.0,810
CUST000297,MI,45-54,40K-75K,Mass Market,Good,3-5 Years,57500,4.0,700
CUST000298,MA,55-64,40K-75K,Emerging Affluent,Excellent,3-5 Years,57500,4.0,810
CUST000299,PA,45-54,40K-75K,Emerging Affluent,Excellent,3-5 Years,57500,4.0,810
CUST000300,OH,45-54,75K-125K,Mass Market,Very Good,5-10 Years,100000,7.0,760
CUST000301,MA,25-34,75K-125K,Mass Market,Excellent,0-1 Years,100000,0.5,810
CUST000302,MD,35-44,40K-75K,Mass Market,Fair,3-5 Years,57500,4.0,630
CUST000303,IL,65+,125K-200K,Emerging Affluent,Poor,0-1 Years,160000,0.5,560
CUST000304,CO,45-54,200K+,Mass Market,Good,10+ Years,240000,12.0,700
CUST000305,GA,65+,40K-75K,Mass Market,Very Good,5-10 Years,57500,7.0,760
CUST000306,NC,45-54,Under 40K,Mass Market,Good,1-3 Years,30000,2.0,700
